step,train_loss,val_acc_eval,val_acc_train,val_loss_eval,val_loss_train
1,2.511017322540283,,,,
2,2.445866584777832,,,,
3,2.3475563526153564,,,,
4,2.3938374519348145,,,,
5,2.4334065914154053,,,,
6,2.3440749645233154,,,,
7,2.377582550048828,,,,
8,2.388033628463745,,,,
9,2.3083455562591553,,,,
10,2.263237237930298,,,,
11,2.2780709266662598,,,,
12,2.3109850883483887,,,,
13,2.2755675315856934,,,,
14,2.2176899909973145,,,,
15,2.209240436553955,,,,
16,2.2314956188201904,,,,
17,2.161457061767578,,,,
18,2.1816930770874023,,,,
19,2.190073251724243,,,,
20,2.198878288269043,,,,
21,2.101560354232788,,,,
22,2.090071201324463,,,,
23,2.1706764698028564,,,,
24,2.1029226779937744,,,,
25,2.0403027534484863,,,,
26,1.998988151550293,,,,
27,2.0325205326080322,,,,
28,1.968986988067627,,,,
29,2.1153151988983154,,,,
30,1.9734114408493042,,,,
31,1.9988316297531128,,,,
32,1.9220842123031616,,,,
33,2.0547659397125244,,,,
34,2.0061862468719482,,,,
35,1.9387004375457764,,,,
36,1.9388444423675537,,,,
37,1.9568517208099365,,,,
38,1.9133676290512085,,,,
39,1.882498025894165,,,,
40,1.9048045873641968,,,,
41,1.9264776706695557,,,,
42,1.8601975440979004,,,,
43,1.8935800790786743,,,,
44,1.7401796579360962,,,,
45,1.7376972436904907,,,,
46,1.8110475540161133,,,,
47,1.767473578453064,,,,
48,1.698457956314087,,,,
49,1.7301084995269775,,,,
50,1.7219892740249634,0.08576948924731183,0.530325940860215,2.6399537645360476,1.7564429595906248
51,1.7356120347976685,,,,
52,1.7573400735855103,,,,
53,1.74604332447052,,,,
54,1.6687904596328735,,,,
55,1.7221077680587769,,,,
56,1.6906332969665527,,,,
57,1.640613079071045,,,,
58,1.6436233520507812,,,,
59,1.5745594501495361,,,,
60,1.7115105390548706,,,,
61,1.6031992435455322,,,,
62,1.5797104835510254,,,,
63,1.6468621492385864,,,,
64,1.5051026344299316,,,,
65,1.5350244045257568,,,,
66,1.5782455205917358,,,,
67,1.6692615747451782,,,,
68,1.5842928886413574,,,,
69,1.5336694717407227,,,,
70,1.4969863891601562,,,,
71,1.5624600648880005,,,,
72,1.572333574295044,,,,
73,1.5431103706359863,,,,
74,1.5688427686691284,,,,
75,1.491753101348877,,,,
76,1.4874323606491089,,,,
77,1.4698117971420288,,,,
78,1.546334981918335,,,,
79,1.4758151769638062,,,,
80,1.4970611333847046,,,,
81,1.4366950988769531,,,,
82,1.513506293296814,,,,
83,1.4407274723052979,,,,
84,1.5074959993362427,,,,
85,1.357434630393982,,,,
86,1.3701746463775635,,,,
87,1.346941351890564,,,,
88,1.363747000694275,,,,
89,1.404873013496399,,,,
90,1.4313832521438599,,,,
91,1.3150066137313843,,,,
92,1.3326321840286255,,,,
93,1.4379812479019165,,,,
94,1.414115071296692,,,,
95,1.367838978767395,,,,
96,1.2894078493118286,,,,
97,1.2966419458389282,,,,
98,1.3987277746200562,,,,
99,1.3532954454421997,,,,
100,1.3217073678970337,0.08576948924731183,0.7220262096774194,2.6399537645360476,1.3112738568295714
101,1.3364953994750977,,,,
102,1.2637574672698975,,,,
103,1.3023793697357178,,,,
104,1.2472048997879028,,,,
105,1.2370580434799194,,,,
106,1.2474174499511719,,,,
107,1.3090740442276,,,,
108,1.3042265176773071,,,,
109,1.185659408569336,,,,
110,1.3564634323120117,,,,
111,1.2757638692855835,,,,
112,1.1927845478057861,,,,
113,1.205977201461792,,,,
114,1.215552806854248,,,,
115,1.176459550857544,,,,
116,1.2136647701263428,,,,
117,1.1573565006256104,,,,
118,1.1807169914245605,,,,
119,1.166761040687561,,,,
120,1.1888387203216553,,,,
121,1.2082910537719727,,,,
122,1.1360712051391602,,,,
123,1.2525585889816284,,,,
124,1.102637767791748,,,,
125,1.1470917463302612,,,,
126,1.197685956954956,,,,
127,1.1060349941253662,,,,
128,1.1618083715438843,,,,
129,1.146925687789917,,,,
130,1.1600474119186401,,,,
131,1.0482861995697021,,,,
132,1.0650830268859863,,,,
133,0.9901762008666992,,,,
134,1.0112080574035645,,,,
135,1.1434412002563477,,,,
136,1.1013712882995605,,,,
137,1.0959196090698242,,,,
138,1.0758154392242432,,,,
139,1.1011852025985718,,,,
140,1.1534324884414673,,,,
141,1.0064280033111572,,,,
142,1.0061873197555542,,,,
143,0.9768105745315552,,,,
144,0.9982270002365112,,,,
145,1.0195856094360352,,,,
146,0.9705063104629517,,,,
147,1.032448172569275,,,,
148,1.0907750129699707,,,,
149,0.9623093008995056,,,,
150,1.0530447959899902,0.08576948924731183,0.7862903225806451,2.6399537645360476,1.0261891945715873
151,0.9372445344924927,,,,
152,0.9645323157310486,,,,
153,1.0229249000549316,,,,
154,1.0137929916381836,,,,
155,0.9980943202972412,,,,
156,0.9795299172401428,,,,
157,1.007105827331543,,,,
158,0.9472381472587585,,,,
159,0.956748902797699,,,,
160,1.014917016029358,,,,
161,1.0322329998016357,,,,
162,0.9817179441452026,,,,
163,0.9622740745544434,,,,
164,0.836182177066803,,,,
165,0.9205181002616882,,,,
166,0.9320134520530701,,,,
167,0.8485447764396667,,,,
168,0.9600110650062561,,,,
169,0.9143096208572388,,,,
170,0.9259442687034607,,,,
171,0.8905887603759766,,,,
172,0.8205341100692749,,,,
173,1.00274658203125,,,,
174,0.9261326193809509,,,,
175,0.9298820495605469,,,,
176,0.8774661421775818,,,,
177,0.8530921339988708,,,,
178,0.9150151610374451,,,,
179,0.9716609716415405,,,,
180,0.9032261371612549,,,,
181,0.8296316862106323,,,,
182,0.9194163680076599,,,,
183,0.8314551711082458,,,,
184,0.8520634770393372,,,,
185,0.9079997539520264,,,,
186,0.9162968993186951,,,,
187,0.8778762817382812,,,,
188,0.849652886390686,,,,
189,0.8137938976287842,,,,
190,0.8322544693946838,,,,
191,0.8085336089134216,,,,
192,0.6855843663215637,,,,
193,0.8247855305671692,,,,
194,0.7343772649765015,,,,
195,0.8480962514877319,,,,
196,0.8435351848602295,,,,
197,0.7935272455215454,,,,
198,0.8283826112747192,,,,
199,0.7420949935913086,,,,
200,0.7934412956237793,0.08576948924731183,0.8192204301075269,2.6399537645360476,0.8045624635552847
201,0.8103600740432739,,,,
202,0.9048787951469421,,,,
203,0.7379322052001953,,,,
204,0.8221209645271301,,,,
205,0.6836531758308411,,,,
206,0.8407946825027466,,,,
207,0.7633219361305237,,,,
208,0.8248623013496399,,,,
209,0.6869875192642212,,,,
210,0.752842903137207,,,,
211,0.7952969074249268,,,,
212,0.6894944310188293,,,,
213,0.8268002271652222,,,,
214,0.7248138785362244,,,,
215,0.8076193928718567,,,,
216,0.7690403461456299,,,,
217,0.7176864743232727,,,,
218,0.7284298539161682,,,,
219,0.7630712985992432,,,,
220,0.6442786455154419,,,,
221,0.7201972007751465,,,,
222,0.715626060962677,,,,
223,0.7011141777038574,,,,
224,0.8043662905693054,,,,
225,0.8228746652603149,,,,
226,0.807597279548645,,,,
227,0.6445501446723938,,,,
228,0.7450039386749268,,,,
229,0.5895822644233704,,,,
230,0.6559202075004578,,,,
231,0.6794904470443726,,,,
232,0.5637587904930115,,,,
233,0.6670585870742798,,,,
234,0.7627884745597839,,,,
235,0.6682312488555908,,,,
236,0.7262535095214844,,,,
237,0.7578499913215637,,,,
238,0.7405747771263123,,,,
239,0.7338944673538208,,,,
240,0.6958869099617004,,,,
241,0.6079362630844116,,,,
242,0.6512131094932556,,,,
243,0.6365841031074524,,,,
244,0.6785707473754883,,,,
245,0.6374067068099976,,,,
246,0.6919721961021423,,,,
247,0.5447150468826294,,,,
248,0.6863027215003967,,,,
249,0.5358200073242188,,,,
250,0.7438009977340698,0.13919690860215053,0.8407258064516129,2.436432987131098,0.6628824164790492
251,0.6184983849525452,,,,
252,0.7562958002090454,,,,
253,0.6289128661155701,,,,
254,0.7210662961006165,,,,
255,0.655896008014679,,,,
256,0.6010853052139282,,,,
257,0.6208899617195129,,,,
258,0.4834939241409302,,,,
259,0.7223809957504272,,,,
260,0.5485771894454956,,,,
261,0.7388812899589539,,,,
262,0.6933901309967041,,,,
263,0.5649219155311584,,,,
264,0.7898043394088745,,,,
265,0.5330527424812317,,,,
266,0.6540812253952026,,,,
267,0.6380095481872559,,,,
268,0.6024240255355835,,,,
269,0.5911887288093567,,,,
270,0.6021134257316589,,,,
271,0.5512959361076355,,,,
272,0.601409912109375,,,,
273,0.5892225503921509,,,,
274,0.6477093696594238,,,,
275,0.5190464854240417,,,,
276,0.609067976474762,,,,
277,0.5796062350273132,,,,
278,0.6604102253913879,,,,
279,0.7693911194801331,,,,
280,0.6270694732666016,,,,
281,0.5729189515113831,,,,
282,0.6021547317504883,,,,
283,0.6094661355018616,,,,
284,0.6663964986801147,,,,
285,0.5743427276611328,,,,
286,0.4338746666908264,,,,
287,0.47875726222991943,,,,
288,0.7019383907318115,,,,
289,0.5855279564857483,,,,
290,0.5297799110412598,,,,
291,0.4630853831768036,,,,
292,0.5467850565910339,,,,
293,0.5330394506454468,,,,
294,0.5664097666740417,,,,
295,0.6138790249824524,,,,
296,0.6467158198356628,,,,
297,0.5013633966445923,,,,
298,0.6016352772712708,,,,
299,0.5181605219841003,,,,
300,0.5819852352142334,0.3377016129032258,0.8532426075268817,1.9214170812278666,0.5774298678803188
301,0.4858812689781189,,,,
302,0.5930306911468506,,,,
303,0.6317465305328369,,,,
304,0.5558241009712219,,,,
305,0.5302692651748657,,,,
306,0.6105713844299316,,,,
307,0.5394279956817627,,,,
308,0.5134732127189636,,,,
309,0.5716459155082703,,,,
310,0.509998619556427,,,,
311,0.6207239031791687,,,,
312,0.740715503692627,,,,
313,0.46491533517837524,,,,
314,0.6755613088607788,,,,
315,0.4867771565914154,,,,
316,0.515571117401123,,,,
317,0.5373867750167847,,,,
318,0.5053849816322327,,,,
319,0.5604615211486816,,,,
320,0.5675036311149597,,,,
321,0.48957642912864685,,,,
322,0.6217390894889832,,,,
323,0.5345787405967712,,,,
324,0.56828373670578,,,,
