step,train_loss,val_acc_eval,val_acc_train,val_loss_eval,val_loss_train
1,2.424269437789917,,,,
2,2.4662559032440186,,,,
3,2.3659794330596924,,,,
4,2.4158599376678467,,,,
5,2.399317979812622,,,,
6,2.3902230262756348,,,,
7,2.3172996044158936,,,,
8,2.3567442893981934,,,,
9,2.321431875228882,,,,
10,2.262871026992798,,,,
11,2.2936551570892334,,,,
12,2.2643725872039795,,,,
13,2.291156053543091,,,,
14,2.265209674835205,,,,
15,2.2503442764282227,,,,
16,2.260512351989746,,,,
17,2.163219690322876,,,,
18,2.2243263721466064,,,,
19,2.105661630630493,,,,
20,2.212933301925659,,,,
21,2.1038737297058105,,,,
22,2.1621227264404297,,,,
23,2.092221975326538,,,,
24,2.112415313720703,,,,
25,2.185793399810791,,,,
26,2.1184394359588623,,,,
27,2.031412124633789,,,,
28,2.0936014652252197,,,,
29,2.0482399463653564,,,,
30,2.0003764629364014,,,,
31,2.0123424530029297,,,,
32,1.9667267799377441,,,,
33,1.9385689496994019,,,,
34,1.970642328262329,,,,
35,1.9409209489822388,,,,
36,1.9220218658447266,,,,
37,1.8884718418121338,,,,
38,1.987213134765625,,,,
39,1.8707730770111084,,,,
40,1.900614619255066,,,,
41,1.8195390701293945,,,,
42,1.8738559484481812,,,,
43,1.8492125272750854,,,,
44,1.8447736501693726,,,,
45,1.8574401140213013,,,,
46,1.7963545322418213,,,,
47,1.8254940509796143,,,,
48,1.7912607192993164,,,,
49,1.7313816547393799,,,,
50,1.7447078227996826,0.03662634408602151,0.4962197580645161,2.6302216129918254,1.767178786698208
51,1.7968218326568604,,,,
52,1.756974458694458,,,,
53,1.6800239086151123,,,,
54,1.719130277633667,,,,
55,1.7958364486694336,,,,
56,1.742640495300293,,,,
57,1.7748645544052124,,,,
58,1.6429911851882935,,,,
59,1.6657525300979614,,,,
60,1.6964714527130127,,,,
61,1.6573069095611572,,,,
62,1.6148669719696045,,,,
63,1.6765048503875732,,,,
64,1.6059927940368652,,,,
65,1.6282182931900024,,,,
66,1.5961436033248901,,,,
67,1.4651775360107422,,,,
68,1.61794912815094,,,,
69,1.5864765644073486,,,,
70,1.664972186088562,,,,
71,1.4690930843353271,,,,
72,1.5460405349731445,,,,
73,1.5382455587387085,,,,
74,1.470772624015808,,,,
75,1.5070488452911377,,,,
76,1.4853127002716064,,,,
77,1.5870941877365112,,,,
78,1.55772066116333,,,,
79,1.4556801319122314,,,,
80,1.505663514137268,,,,
81,1.433350682258606,,,,
82,1.484211802482605,,,,
83,1.535509467124939,,,,
84,1.4133281707763672,,,,
85,1.427282452583313,,,,
86,1.4666831493377686,,,,
87,1.5392646789550781,,,,
88,1.4466118812561035,,,,
89,1.3515446186065674,,,,
90,1.4611523151397705,,,,
91,1.406855821609497,,,,
92,1.3994531631469727,,,,
93,1.312483549118042,,,,
94,1.498911738395691,,,,
95,1.2869510650634766,,,,
96,1.4468625783920288,,,,
97,1.3254204988479614,,,,
98,1.2980687618255615,,,,
99,1.4106881618499756,,,,
100,1.3809326887130737,0.03662634408602151,0.707073252688172,2.6302216129918254,1.3310357139956566
101,1.401292085647583,,,,
102,1.2690414190292358,,,,
103,1.2911500930786133,,,,
104,1.3109169006347656,,,,
105,1.3112298250198364,,,,
106,1.2401459217071533,,,,
107,1.2869514226913452,,,,
108,1.2856007814407349,,,,
109,1.2858970165252686,,,,
110,1.2545497417449951,,,,
111,1.2649717330932617,,,,
112,1.2048301696777344,,,,
113,1.252617359161377,,,,
114,1.3079863786697388,,,,
115,1.2752541303634644,,,,
116,1.3015124797821045,,,,
117,1.3608797788619995,,,,
118,1.2444957494735718,,,,
119,1.204674482345581,,,,
120,1.2510870695114136,,,,
121,1.1694953441619873,,,,
122,1.2919362783432007,,,,
123,1.3817256689071655,,,,
124,1.0860646963119507,,,,
125,1.2393159866333008,,,,
126,1.1271038055419922,,,,
127,1.1428784132003784,,,,
128,1.131049394607544,,,,
129,1.3015323877334595,,,,
130,1.176710844039917,,,,
131,1.1535356044769287,,,,
132,1.2833585739135742,,,,
133,1.1376197338104248,,,,
134,1.120068073272705,,,,
135,1.0788780450820923,,,,
136,1.0731858015060425,,,,
137,1.1231359243392944,,,,
138,1.0457168817520142,,,,
139,1.0127029418945312,,,,
140,1.0453035831451416,,,,
141,1.0445940494537354,,,,
142,1.139567255973816,,,,
143,1.006850242614746,,,,
144,1.010551929473877,,,,
145,1.0207207202911377,,,,
146,1.037253737449646,,,,
147,1.178300142288208,,,,
148,0.9986191987991333,,,,
149,1.0946767330169678,,,,
