step,train_loss,val_acc_eval,val_acc_train,val_loss_eval,val_loss_train
1,2.4671010971069336,,,,
2,2.432081699371338,,,,
3,2.3606157302856445,,,,
4,2.41963529586792,,,,
5,2.3988280296325684,,,,
6,2.4305715560913086,,,,
7,2.2914812564849854,,,,
8,2.302021026611328,,,,
9,2.3036139011383057,,,,
10,2.324993848800659,,,,
11,2.2674505710601807,,,,
12,2.2807719707489014,,,,
13,2.2687149047851562,,,,
14,2.236403465270996,,,,
15,2.133153200149536,,,,
16,2.1740036010742188,,,,
17,2.2398455142974854,,,,
18,2.2033817768096924,,,,
19,2.146575927734375,,,,
20,2.118121862411499,,,,
21,2.1143534183502197,,,,
22,2.144655227661133,,,,
23,2.131753444671631,,,,
24,2.0401089191436768,,,,
25,2.093075752258301,,,,
26,2.1478075981140137,,,,
27,2.0934078693389893,,,,
28,2.059331178665161,,,,
29,2.0379912853240967,,,,
30,1.9213281869888306,,,,
31,1.948015570640564,,,,
32,2.035848379135132,,,,
33,1.9565526247024536,,,,
34,1.9629530906677246,,,,
35,1.9986093044281006,,,,
36,1.9298522472381592,,,,
37,1.9073505401611328,,,,
38,1.8929396867752075,,,,
39,1.8848445415496826,,,,
40,1.9050222635269165,,,,
41,1.8719273805618286,,,,
42,1.8722076416015625,,,,
43,1.8086825609207153,,,,
44,1.8627166748046875,,,,
45,1.8517537117004395,,,,
46,1.7496227025985718,,,,
47,1.8200761079788208,,,,
48,1.79530930519104,,,,
49,1.803732991218567,,,,
50,1.752312421798706,0.1063508064516129,0.5423387096774194,2.582935979289393,1.7579922919632287
51,1.8016798496246338,,,,
52,1.737158179283142,,,,
53,1.702547311782837,,,,
54,1.6971856355667114,,,,
55,1.7328948974609375,,,,
56,1.6778134107589722,,,,
57,1.7325891256332397,,,,
58,1.6378724575042725,,,,
59,1.6953556537628174,,,,
60,1.6437478065490723,,,,
61,1.6861985921859741,,,,
62,1.6066032648086548,,,,
63,1.6066889762878418,,,,
64,1.7503031492233276,,,,
65,1.6340436935424805,,,,
66,1.6032137870788574,,,,
67,1.6385239362716675,,,,
68,1.5751326084136963,,,,
69,1.5777359008789062,,,,
70,1.575324296951294,,,,
71,1.5549200773239136,,,,
72,1.6035709381103516,,,,
73,1.5759707689285278,,,,
74,1.5436757802963257,,,,
75,1.498363733291626,,,,
76,1.5290759801864624,,,,
77,1.5481486320495605,,,,
78,1.5192229747772217,,,,
79,1.5215562582015991,,,,
80,1.393981695175171,,,,
81,1.4821617603302002,,,,
82,1.4669378995895386,,,,
83,1.4972875118255615,,,,
84,1.5195318460464478,,,,
85,1.4155266284942627,,,,
86,1.4348835945129395,,,,
87,1.4352662563323975,,,,
88,1.397824764251709,,,,
